,year,title,director_names,nations,genres,rate,영화제
102,1995,라빠,베르트랑 타베르니에,프랑스,"드라마, 범죄",3.3 (79명),베를린
103,1995,씨클로,트란 안 훙,"프랑스, 베트남","드라마, 범죄","3.4 (5,423명)",베니스
104,1995,비포 더 레인,밀코 만체프스키,"프랑스, 영국","로맨스, 드라마",3.6 (789명),베니스
105,1994,펄프 픽션,쿠엔틴 타란티노,미국,"범죄, 드라마",4.0 (11만명),칸
106,1994,포레스트 검프,로버트 저메키스,미국,"드라마, 로맨스",4.3 (51만명),아카데미
107,1994,애정만세,차이밍량,대만,드라마,"3.8 (2,090명)",베니스
108,1993,패왕별희,첸 카이거,"중국, 홍콩","드라마, 음악, 로맨스",4.0 (12만명),칸
109,1993,피아노,제인 캠피온,"뉴질랜드, 호주, 프랑스, 미국","드라마, 음악, 로맨스",3.8 (4만명),칸
110,1993,쉰들러 리스트,스티븐 스필버그,미국,"드라마, 역사, 전쟁",4.2 (25만명),아카데미
111,1993,아버지의 이름으로,짐 쉐리단,"영국, 아일랜드",드라마,3.8 (1만명),베를린
112,1993,향혼녀,사비,중국,드라마,3.7 (35명),베를린
113,1993,결혼 피로연,이안,"대만, 미국","드라마, 코미디","3.7 (4,135명)",베를린
114,1993,숏컷,로버트 알트먼,미국,"코미디, 드라마","3.8 (2,807명)",베니스
115,1993,세 가지 색 : 블루,크지슈토프 키에슬로프스키,"프랑스, 폴란드, 스위스","드라마, 음악, 미스터리, 로맨스",3.6 (1만명),베니스
116,1992,최선의 의도,빌 어거스트,"독일, 이탈리아, 프랑스, 영국, 스웨덴, 덴마크, 핀란드, 노르웨이, 아이슬란드","로맨스, 드라마",3.3 (210명),칸
117,1992,용서받지 못한 자,클린트 이스트우드,미국,"서부극, 드라마, 범죄",3.8 (2만명),아카데미
118,1992,귀주 이야기,장예모,중국,"드라마, 코미디","3.5 (3,502명)",베니스
119,1991,바톤 핑크,조엘 코엔,"미국, 영국","코미디, 드라마",3.8 (1만명),칸
120,1991,양들의 침묵,조나단 드미,미국,"범죄, 드라마, 스릴러, 공포",4.1 (25만명),아카데미
121,1991,그랜드 캐년,로렌스 캐스단,미국,"드라마, 범죄",3.3 (165명),베를린
122,1991,더 하우스 오브 스마일,마코 페레리,이탈리아,"로맨스, 드라마",3.0 (16명),베를린
123,1991,우르가,니키타 미할코프,"프랑스, 소련",드라마,3.3 (142명),베니스
124,1990,광란의 사랑,데이빗 린치,미국,"로맨틱코미디, 스릴러, 범죄","3.6 (2,794명)",칸
125,1990,늑대와 춤을,케빈 코스트너,"영국, 미국","모험, 서부극, 드라마",3.9 (6만명),아카데미
126,1990,줄 위의 종달새,이리 멘젤,체코,"로맨틱코미디, 드라마",3.4 (126명),베를린
127,1990,로젠크란츠와 길덴스턴은 죽었다,톰 스톱파드,"영국, 미국","드라마, 코미디",3.4 (468명),베니스
128,1989,섹스 거짓말 그리고 비디오테이프,스티븐 소더버그,미국,"드라마, 성인","3.4 (9,990명)",칸
129,1989,드라이빙 미스 데이지,브루스 베레스포드,미국,"코미디, 드라마",3.6 (1만명),아카데미
130,1989,뮤직 박스,코스타 가브라스,미국,"범죄, 드라마, 스릴러",3.8 (814명),베를린
131,1989,비정성시,허우 샤오시엔,대만,드라마,"4.0 (4,507명)",베니스
132,1988,레인 맨,베리 레빈슨,미국,드라마,4.0 (11만명),아카데미
133,1988,레인 맨,베리 레빈슨,미국,드라마,4.0 (11만명),베를린
134,1988,붉은 수수밭,장예모,중국,"드라마, 전쟁",3.6 (1만명),베를린
135,1988,영험한 애주가의 전설,에르만노 올미,"미국, 이탈리아, 프랑스",,2.9 (104명),베니스
136,1987,정복자 펠레,빌 어거스트,"덴마크, 스웨덴",드라마,"3.9 (1,727명)",칸
137,1987,사탄의 태양 아래서,모리스 피알라,프랑스,드라마,3.5 (374명),칸
138,1987,마지막 황제,베르나르도 베르톨루치,"미국, 프랑스, 영국, 이탈리아","시대극, 드라마",3.8 (10만명),아카데미
139,1987,굿바이 칠드런,루이 말,"프랑스, 독일(구 서독), 독일, 이탈리아","드라마, 전쟁","3.7 (3,615명)",베니스
140,1986,미션,롤랑 조페,영국,드라마,3.9 (4만명),칸
141,1986,플래툰,올리버 스톤,"미국, 영국","드라마, 전쟁",3.9 (5만명),아카데미
142,1986,쉬탐하임,라인하르트 하우프,"독일, 독일(구 서독)",, ,베를린
143,1986,녹색 광선,에릭 로메르,프랑스,"로맨스, 드라마","3.8 (8,230명)",베니스
144,1985,아빠는 출장 중,에밀 쿠스트리차,,드라마,3.6 (554명),칸
145,1985,아웃 오브 아프리카,시드니 폴락,미국,"드라마, 로맨스",3.8 (2만명),아카데미
146,1985,우먼 앤드 더 스트레인저,라이너 사이먼,"독일, 독일(구 동독)",,3.5 (17명),베를린
147,1985,웨더비,데이비드 헤어,영국,"드라마, 미스터리",3.4 (114명),베를린
148,1985,방랑자,아녜스 바르다,"프랑스, 영국",드라마,"4.0 (1,517명)",베니스
149,1984,파리 텍사스,빔 벤더스,"독일, 프랑스",드라마,"3.9 (7,827명)",칸
150,1984,아마데우스,밀로스 포먼,미국,"음악, 드라마",4.0 (19만명),아카데미
151,1984,사랑의 행로,존 카사베츠,미국,"드라마, 코미디",3.9 (296명),베를린
152,1984,조용한 태양의 해,크지쉬토프 자누쉬,폴란드,로맨스,3.2 (126명),베니스
153,1983,나라야마 부시코,이마무라 쇼헤이,일본,드라마,"3.7 (5,392명)",칸
154,1983,애정의 조건,제임스 L. 브룩스,미국,"코미디, 드라마","3.5 (2,156명)",아카데미
155,1983,어센던시,에드워드 베넷,영국,드라마, ,베를린
156,1983,미녀 갱 카르멘,장 뤽 고다르,프랑스,"범죄, 드라마, 음악, 로맨스","3.4 (1,168명)",베니스
157,1982,욜,일마즈 귀니,"스위스, 터키","로맨스, 드라마",3.6 (519명),칸
158,1982,의문의 실종,코스타 가브라스,미국,"드라마, 스릴러",3.6 (420명),칸
159,1982,간디,리처드 애튼버러,"영국, 미국",드라마,"3.4 (5,112명)",아카데미
160,1982,벌집,마리오 카무스,스페인,드라마,3.0 (1명),베를린
161,1982,베로니카 포스의 갈망,라이너 베르너 파스빈더,"독일, 독일(구 서독)",드라마,3.7 (314명),베를린
162,1982,사물의 상태,빔 벤더스,"네덜란드, 영국, 독일(구 서독), 포르투갈, 미국",,3.4 (275명),베니스
163,1981,철의 사나이,안제이 바이다,폴란드,"드라마, 역사",3.4 (203명),칸
164,1981,불의 전차,휴 허드슨,영국,"스포츠, 드라마",3.6 (1만명),아카데미
165,1981,질주,카를로스 사우라,"스페인, 프랑스","드라마, 범죄",2.9 (26명),베를린
166,1981,독일 자매,마가레테 폰 트로타,"독일, 독일(구 서독)",드라마,3.3 (134명),베니스
167,1980,카게무샤,구로사와 아키라,"일본, 미국","드라마, 역사, 전쟁, 액션","3.7 (8,623명)",칸
168,1980,보통 사람들,로버트 레드포드,미국,드라마,"3.5 (2,308명)",아카데미
169,1980,Palermo or Wolfsburg,,독일,,3.0 (1명),베를린
170,1980,아틀란틱 시티,루이 말,"캐나다, 프랑스, 미국","로맨스, 드라마, 범죄",3.3 (278명),베니스
171,1980,글로리아,존 카사베츠,미국,"드라마, 스릴러, 범죄","3.7 (1,461명)",베니스
172,1979,올 댓 재즈,밥 포시,미국,"드라마, 판타지, 음악","3.7 (2,131명)",칸
173,1979,지옥의 묵시록,프란시스 포드 코폴라,미국,"드라마, 전쟁",3.8 (3만명),칸
174,1979,양철북,폴커 슐렌도르프,"독일, 프랑스, 독일(구 서독), 폴란드","드라마, 전쟁",3.5 (1만명),칸
175,1979,크레이머 대 크레이머,로버트 벤튼,미국,드라마,3.7 (2만명),아카데미
176,1979,테마,글렙 판필로프,러시아,드라마, ,베를린
177,1979,하트랜드,리처드 피어스,미국,드라마,3.5 (11명),베를린
178,1979,데이비드,피터 릴리엔탈,"독일, 독일(구 서독)","전쟁, 드라마",3.0 (15명),베를린
179,1978,나막신 나무,에르만노 올미,"이탈리아, 프랑스",드라마,3.7 (198명),칸
180,1978,디어 헌터,마이클 치미노,미국,"공포, 전쟁, 드라마",3.8 (1만명),아카데미
181,1978,아쎈소르,토마스 무노즈,스페인,,3.6 (12명),베를린
182,1978,왓 맥스 세드,에밀리오 마르티네즈 라자로,스페인,,3.2 (14명),베를린
183,1978,트라웃,조시 루이스 가르시아 산체즈,스페인,,3.5 (12명),베를린
184,1977,빠드레 빠드로네,"비토리오 타비아니, 파올로 타비아니",이탈리아,드라마,3.6 (547명),칸
185,1977,애니 홀,우디 앨런,미국,"로맨스, 코미디, 로맨틱코미디",3.8 (2만명),아카데미
186,1977,고양,라리사 셰피트코,소련,"전쟁, 드라마",4.1 (213명),베를린
187,1976,택시 드라이버,마틴 스콜세지,미국,"드라마, 스릴러",4.0 (7만명),칸
188,1976,록키,존 G. 아빌드센,미국,"드라마, 스포츠",3.9 (8만명),아카데미
189,1975,불타는 해의 연대기,,알제리,,3.3 (90명),칸
190,1975,뻐꾸기 둥지 위로 날아간 새,밀로스 포먼,미국,"범죄, 드라마",4.1 (4만명),아카데미
191,1974,컨버세이션,프란시스 포드 코폴라,미국,"범죄, 액션, 스릴러","3.8 (4,409명)",칸
192,1974,대부 2,프란시스 포드 코폴라,미국,"드라마, 범죄",4.2 (13만명),아카데미
193,1974,더디 크레이비츠의 수습 기간,테드 코체프,"캐나다, 국가불명",,2.6 (17명),베를린
194,1973,하수인,앨런 브릿지즈,영국,,3.1 (116명),칸
195,1973,허수아비,제리 샤츠버그,미국,드라마,"3.9 (1,070명)",칸
196,1973,스팅,조지 로이 힐,미국,"범죄, 드라마, 코미디",4.0 (2만명),아카데미
197,1973,대지의 눈물,사티야지트 레이,인도,드라마,3.8 (34명),베를린
198,1972,마테이 사건,프란체스코 로시,이탈리아,드라마,3.2 (103명),칸
199,1972,대부,프란시스 포드 코폴라,미국,"범죄, 드라마, 스릴러",4.3 (22만명),아카데미
200,1972,캔터베리 이야기,피에르 파올로 파졸리니,"이탈리아, 프랑스","드라마, 코미디",3.5 (160명),베를린
201,1971,천국으로 가는 노동계급,엘리오 페트리,이탈리아,드라마,3.4 (136명),칸
202,1971,사랑의 메신저,조셉 로지,영국,"로맨스, 드라마",3.2 (167명),칸
203,1971,프렌치 커넥션,윌리엄 프리드킨,미국,"범죄, 액션, 스릴러","3.8 (4,247명)",아카데미
204,1970,매쉬,로버트 알트먼,미국,"전쟁, 드라마, 코미디",3.3 (731명),칸
205,1970,패튼 대전차 군단,프랭크린 J. 샤프너,미국,"전쟁, 드라마","3.5 (2,901명)",아카데미
