year,title,director_names,nations,genres,rate,영화제
2003,엘리펀트,['구스 반 산트'],[{'name': '미국'}],"['드라마', '범죄']",평균 ★3.8 (2만명),칸
2003,반지의 제왕 : 왕의 귀환,['피터 잭슨'],"[{'name': '미국'}, {'name': '뉴질랜드'}, {'name': '독일'}]","['판타지', '드라마', '액션', '전쟁', '모험']",평균 ★4.2 (55만명),아카데미
2003,리턴,['안드레이 즈비아긴체프'],[{'name': '러시아'}],['드라마'],"평균 ★3.6 (1,946명)",베니스
2002,피아니스트,['로만 폴란스키'],"[{'name': '독일'}, {'name': '프랑스'}, {'name': '영국'}, {'name': '폴란드'}, {'name': '네덜란드'}]","['드라마', '음악', '전쟁']",평균 ★4.1 (30만명),칸
2002,시카고,['롭 마샬'],"[{'name': '미국'}, {'name': '독일'}, {'name': '캐나다'}, {'name': '영국'}]","['음악', '코미디', '범죄', '드라마']",평균 ★3.8 (15만명),아카데미
2002,인 디스 월드,['마이클 윈터버텀'],[{'name': '영국'}],['드라마'],평균 ★3.8 (376명),베를린
2002,블러디 선데이,['폴 그린그래스'],"[{'name': '영국'}, {'name': '아일랜드'}]",['드라마'],"평균 ★3.7 (2,663명)",베를린
2002,막달레나 시스터즈,['피터 멀런'],"[{'name': '영국'}, {'name': '아일랜드'}]",['드라마'],평균 ★3.6 (729명),베니스
2001,아들의 방,['난니 모레티'],"[{'name': '이탈리아'}, {'name': '프랑스'}]","['드라마', '가족']","평균 ★3.6 (4,310명)",칸
2001,뷰티풀 마인드,['론 하워드'],[{'name': '미국'}],['드라마'],평균 ★3.9 (26만명),아카데미
2001,센과 치히로의 행방불명,['미야자키 하야오'],[{'name': '일본'}],"['판타지', '애니메이션', '가족']",평균 ★4.3 (90만명),베를린
2001,정사,['파트리스 쉐로'],"[{'name': '프랑스'}, {'name': '영국'}, {'name': '독일'}, {'name': '스페인'}]",['드라마'],"평균 ★2.9 (2,096명)",베를린
2001,몬순 웨딩,['미라 네이어'],[{'name': '인도'}],[],평균 ★3.3 (327명),베니스
2000,어둠 속의 댄서,['라스 폰 트리에'],"[{'name': '덴마크'}, {'name': '독일'}, {'name': '네덜란드'}, {'name': '이탈리아'}, {'name': '미국'}, {'name': '영국'}, {'name': '프랑스'}, {'name': '스웨덴'}, {'name': '핀란드'}, {'name': '아이슬란드'}, {'name': '아르헨티나'}, {'name': '노르웨이'}, {'name': '대만'}, {'name': '벨기에'}]","['범죄', '드라마']",평균 ★3.8 (3만명),칸
2000,글래디에이터,['리들리 스콧'],"[{'name': '영국'}, {'name': '미국'}]","['액션', '드라마', '모험']",평균 ★4.1 (41만명),아카데미
2000,써클,['자파르 파나히'],"[{'name': '이탈리아'}, {'name': '이란'}]",['드라마'],평균 ★3.3 (265명),베니스
1999,로제타,"['뤽 다르덴', '장-피에르 다르덴']","[{'name': '프랑스'}, {'name': '벨기에'}]",['드라마'],평균 ★4.0 (2만명),칸
1999,아메리칸 뷰티,['샘 멘데스'],[{'name': '미국'}],"['드라마', '코미디']",평균 ★3.8 (13만명),아카데미
1999,매그놀리아,['폴 토마스 앤더슨'],[{'name': '미국'}],['드라마'],평균 ★3.9 (3만명),베를린
1999,책상 서랍 속의 동화,['장예모'],[{'name': '중국'}],['드라마'],"평균 ★3.8 (5,627명)",베니스
1998,영원과 하루,['테오도로스 앙겔로플로스'],"[{'name': '프랑스'}, {'name': '그리스'}, {'name': '이탈리아'}]",['드라마'],"평균 ★3.8 (4,043명)",칸
1998,셰익스피어 인 러브,['존 매든'],"[{'name': '영국'}, {'name': '미국'}]","['코미디', '드라마', '역사', '로맨스']",평균 ★3.5 (4만명),아카데미
1998,씬 레드 라인,['테렌스 맬릭'],[{'name': '미국'}],"['드라마', '전쟁']",평균 ★3.6 (2만명),베를린
1998,중앙역,['월터 살레스'],"[{'name': '프랑스'}, {'name': '브라질'}]",['드라마'],"평균 ★3.9 (2,253명)",베를린
1998,우리가 웃는 법,['지아니 아멜리오'],[{'name': '이탈리아'}],[],평균 ★2.9 (86명),베니스
1997,체리향기,['압바스 키아로스타미'],"[{'name': '이란'}, {'name': '프랑스'}]",['드라마'],"평균 ★3.8 (7,100명)",칸
1997,우나기,['이마무라 쇼헤이'],[{'name': '일본'}],['드라마'],"평균 ★3.5 (5,193명)",칸
1997,타이타닉,['제임스 카메론'],[{'name': '미국'}],"['로맨스', '드라마']",평균 ★4.3 (102만명),아카데미
1997,하나비,['기타노 다케시'],[{'name': '일본'}],"['범죄', '드라마', '로맨스', '스릴러']",평균 ★3.7 (2만명),베니스
1996,비밀과 거짓말,['마이크 리'],"[{'name': '영국'}, {'name': '프랑스'}]",['드라마'],"평균 ★3.8 (3,102명)",칸
1996,잉글리쉬 페이션트,['안소니 밍겔라'],"[{'name': '미국'}, {'name': '영국'}]","['드라마', '로맨스', '전쟁']",평균 ★3.6 (2만명),아카데미
1996,래리 플린트,['밀로스 포먼'],[{'name': '미국'}],['드라마'],"평균 ★3.4 (7,423명)",베를린
1996,마이클 콜린스,['닐 조던'],"[{'name': '영국'}, {'name': '미국'}, {'name': '아일랜드'}]","['드라마', '스릴러']","평균 ★3.3 (1,297명)",베니스
1995,언더그라운드,['에밀 쿠스트리차'],"[{'name': '유고슬라비아'}, {'name': '프랑스'}, {'name': '독일'}, {'name': '불가리아'}, {'name': '체코'}, {'name': '헝가리'}]","['드라마', '코미디']","평균 ★4.0 (2,822명)",칸
1995,브레이브하트,['멜 깁슨'],[{'name': '미국'}],"['드라마', '역사', '전쟁']",평균 ★4.0 (16만명),아카데미
1995,센스 앤 센서빌리티,['이안'],"[{'name': '미국'}, {'name': '영국'}]","['드라마', '로맨스', '시대극']",평균 ★3.6 (3만명),베를린
1995,라빠,['베르트랑 타베르니에'],[{'name': '프랑스'}],"['드라마', '범죄']",평균 ★3.3 (79명),베를린
1995,씨클로,['트란 안 훙'],"[{'name': '프랑스'}, {'name': '베트남'}]","['드라마', '범죄']","평균 ★3.4 (5,423명)",베니스
1995,비포 더 레인,['밀코 만체프스키'],"[{'name': '프랑스'}, {'name': '영국'}]","['로맨스', '드라마']",평균 ★3.6 (789명),베니스
1994,펄프 픽션,['쿠엔틴 타란티노'],[{'name': '미국'}],"['범죄', '드라마']",평균 ★4.0 (11만명),칸
1994,포레스트 검프,['로버트 저메키스'],[{'name': '미국'}],"['드라마', '로맨스']",평균 ★4.3 (51만명),아카데미
1994,애정만세,['차이밍량'],[{'name': '대만'}],['드라마'],"평균 ★3.8 (2,090명)",베니스
1993,패왕별희,['첸 카이거'],"[{'name': '중국'}, {'name': '홍콩'}]","['드라마', '음악', '로맨스']",평균 ★4.0 (12만명),칸
1993,피아노,['제인 캠피온'],"[{'name': '뉴질랜드'}, {'name': '호주'}, {'name': '프랑스'}, {'name': '미국'}]","['드라마', '음악', '로맨스']",평균 ★3.8 (4만명),칸
1993,쉰들러 리스트,['스티븐 스필버그'],[{'name': '미국'}],"['드라마', '역사', '전쟁']",평균 ★4.2 (25만명),아카데미
1993,아버지의 이름으로,['짐 쉐리단'],"[{'name': '영국'}, {'name': '아일랜드'}]",['드라마'],평균 ★3.8 (1만명),베를린
1993,향혼녀,['사비'],[{'name': '중국'}],['드라마'],평균 ★3.7 (35명),베를린
1993,결혼 피로연,['이안'],"[{'name': '대만'}, {'name': '미국'}]","['드라마', '코미디']","평균 ★3.7 (4,135명)",베를린
1993,숏컷,['로버트 알트먼'],[{'name': '미국'}],"['코미디', '드라마']","평균 ★3.8 (2,807명)",베니스
1993,세 가지 색 : 블루,['크지슈토프 키에슬로프스키'],"[{'name': '프랑스'}, {'name': '폴란드'}, {'name': '스위스'}]","['드라마', '음악', '미스터리', '로맨스']",평균 ★3.6 (1만명),베니스
1992,최선의 의도,['빌 어거스트'],"[{'name': '독일'}, {'name': '이탈리아'}, {'name': '프랑스'}, {'name': '영국'}, {'name': '스웨덴'}, {'name': '덴마크'}, {'name': '핀란드'}, {'name': '노르웨이'}, {'name': '아이슬란드'}]","['로맨스', '드라마']",평균 ★3.3 (210명),칸
1992,용서받지 못한 자,['클린트 이스트우드'],[{'name': '미국'}],"['서부극', '드라마', '범죄']",평균 ★3.8 (2만명),아카데미
1992,귀주 이야기,['장예모'],[{'name': '중국'}],"['드라마', '코미디']","평균 ★3.5 (3,502명)",베니스
1991,바톤 핑크,['조엘 코엔'],"[{'name': '미국'}, {'name': '영국'}]","['코미디', '드라마']",평균 ★3.8 (1만명),칸
1991,양들의 침묵,['조나단 드미'],[{'name': '미국'}],"['범죄', '드라마', '스릴러', '공포']",평균 ★4.1 (25만명),아카데미
1991,그랜드 캐년,['로렌스 캐스단'],[{'name': '미국'}],"['드라마', '범죄']",평균 ★3.3 (165명),베를린
1991,더 하우스 오브 스마일,['마코 페레리'],[{'name': '이탈리아'}],"['로맨스', '드라마']",평균 ★3.0 (16명),베를린
1991,우르가,['니키타 미할코프'],"[{'name': '프랑스'}, {'name': '소련'}]",['드라마'],평균 ★3.3 (142명),베니스
1990,광란의 사랑,['데이빗 린치'],[{'name': '미국'}],"['로맨틱코미디', '스릴러', '범죄']","평균 ★3.6 (2,794명)",칸
1990,늑대와 춤을,['케빈 코스트너'],"[{'name': '영국'}, {'name': '미국'}]","['모험', '서부극', '드라마']",평균 ★3.9 (6만명),아카데미
1990,줄 위의 종달새,['이리 멘젤'],[{'name': '체코'}],"['로맨틱코미디', '드라마']",평균 ★3.4 (126명),베를린
1990,로젠크란츠와 길덴스턴은 죽었다,['톰 스톱파드'],"[{'name': '영국'}, {'name': '미국'}]","['드라마', '코미디']",평균 ★3.4 (468명),베니스
1989,섹스 거짓말 그리고 비디오테이프,['스티븐 소더버그'],[{'name': '미국'}],"['드라마', '성인']","평균 ★3.4 (9,990명)",칸
1989,드라이빙 미스 데이지,['브루스 베레스포드'],[{'name': '미국'}],"['코미디', '드라마']",평균 ★3.6 (1만명),아카데미
1989,뮤직 박스,['코스타 가브라스'],[{'name': '미국'}],"['범죄', '드라마', '스릴러']",평균 ★3.8 (814명),베를린
1989,비정성시,['허우 샤오시엔'],[{'name': '대만'}],['드라마'],"평균 ★4.0 (4,507명)",베니스
1988,레인 맨,['베리 레빈슨'],[{'name': '미국'}],['드라마'],평균 ★4.0 (11만명),아카데미
1988,레인 맨,['베리 레빈슨'],[{'name': '미국'}],['드라마'],평균 ★4.0 (11만명),베를린
1988,붉은 수수밭,['장예모'],[{'name': '중국'}],"['드라마', '전쟁']",평균 ★3.6 (1만명),베를린
1988,영험한 애주가의 전설,['에르만노 올미'],"[{'name': '미국'}, {'name': '이탈리아'}, {'name': '프랑스'}]",[],평균 ★2.9 (104명),베니스
1987,정복자 펠레,['빌 어거스트'],"[{'name': '덴마크'}, {'name': '스웨덴'}]",['드라마'],"평균 ★3.9 (1,727명)",칸
1987,사탄의 태양 아래서,['모리스 피알라'],[{'name': '프랑스'}],['드라마'],평균 ★3.5 (374명),칸
1987,마지막 황제,['베르나르도 베르톨루치'],"[{'name': '미국'}, {'name': '프랑스'}, {'name': '영국'}, {'name': '이탈리아'}]","['시대극', '드라마']",평균 ★3.8 (10만명),아카데미
1987,굿바이 칠드런,['루이 말'],"[{'name': '프랑스'}, {'name': '독일(구 서독)'}, {'name': '독일'}, {'name': '이탈리아'}]","['드라마', '전쟁']","평균 ★3.7 (3,615명)",베니스
1986,미션,['롤랑 조페'],[{'name': '영국'}],['드라마'],평균 ★3.9 (4만명),칸
1986,플래툰,['올리버 스톤'],"[{'name': '미국'}, {'name': '영국'}]","['드라마', '전쟁']",평균 ★3.9 (5만명),아카데미
1986,쉬탐하임,['라인하르트 하우프'],"[{'name': '독일'}, {'name': '독일(구 서독)'}]",[], ,베를린
1986,녹색 광선,['에릭 로메르'],[{'name': '프랑스'}],"['로맨스', '드라마']","평균 ★3.8 (8,230명)",베니스
1985,아빠는 출장 중,['에밀 쿠스트리차'],[],['드라마'],평균 ★3.6 (554명),칸
1985,아웃 오브 아프리카,['시드니 폴락'],[{'name': '미국'}],"['드라마', '로맨스']",평균 ★3.8 (2만명),아카데미
1985,우먼 앤드 더 스트레인저,['라이너 사이먼'],"[{'name': '독일'}, {'name': '독일(구 동독)'}]",[],평균 ★3.5 (17명),베를린
1985,웨더비,['데이비드 헤어'],[{'name': '영국'}],"['드라마', '미스터리']",평균 ★3.4 (114명),베를린
1985,방랑자,['아녜스 바르다'],"[{'name': '프랑스'}, {'name': '영국'}]",['드라마'],"평균 ★4.0 (1,517명)",베니스
1984,파리 텍사스,['빔 벤더스'],"[{'name': '독일'}, {'name': '프랑스'}]",['드라마'],"평균 ★3.9 (7,827명)",칸
1984,아마데우스,['밀로스 포먼'],[{'name': '미국'}],"['음악', '드라마']",평균 ★4.0 (19만명),아카데미
1984,사랑의 행로,['존 카사베츠'],[{'name': '미국'}],"['드라마', '코미디']",평균 ★3.9 (296명),베를린
1984,조용한 태양의 해,['크지쉬토프 자누쉬'],[{'name': '폴란드'}],['로맨스'],평균 ★3.2 (126명),베니스
1983,나라야마 부시코,['이마무라 쇼헤이'],[{'name': '일본'}],['드라마'],"평균 ★3.7 (5,392명)",칸
1983,애정의 조건,['제임스 L. 브룩스'],[{'name': '미국'}],"['코미디', '드라마']","평균 ★3.5 (2,156명)",아카데미
1983,어센던시,['에드워드 베넷'],[{'name': '영국'}],['드라마'], ,베를린
1983,미녀 갱 카르멘,['장 뤽 고다르'],[{'name': '프랑스'}],"['범죄', '드라마', '음악', '로맨스']","평균 ★3.4 (1,168명)",베니스
1982,욜,['일마즈 귀니'],"[{'name': '스위스'}, {'name': '터키'}]","['로맨스', '드라마']",평균 ★3.6 (519명),칸
1982,의문의 실종,['코스타 가브라스'],[{'name': '미국'}],"['드라마', '스릴러']",평균 ★3.6 (420명),칸
1982,간디,['리처드 애튼버러'],"[{'name': '영국'}, {'name': '미국'}]",['드라마'],"평균 ★3.4 (5,112명)",아카데미
1982,벌집,['마리오 카무스'],[{'name': '스페인'}],['드라마'],평균 ★3.0 (1명),베를린
1982,베로니카 포스의 갈망,['라이너 베르너 파스빈더'],"[{'name': '독일'}, {'name': '독일(구 서독)'}]",['드라마'],평균 ★3.7 (314명),베를린
1982,사물의 상태,['빔 벤더스'],"[{'name': '네덜란드'}, {'name': '영국'}, {'name': '독일(구 서독)'}, {'name': '포르투갈'}, {'name': '미국'}]",[],평균 ★3.4 (275명),베니스
1981,철의 사나이,['안제이 바이다'],[{'name': '폴란드'}],"['드라마', '역사']",평균 ★3.4 (203명),칸
1981,불의 전차,['휴 허드슨'],[{'name': '영국'}],"['스포츠', '드라마']",평균 ★3.6 (1만명),아카데미
1981,질주,['카를로스 사우라'],"[{'name': '스페인'}, {'name': '프랑스'}]","['드라마', '범죄']",평균 ★2.9 (26명),베를린
1981,독일 자매,['마가레테 폰 트로타'],"[{'name': '독일'}, {'name': '독일(구 서독)'}]",['드라마'],평균 ★3.3 (134명),베니스
1980,카게무샤,['구로사와 아키라'],"[{'name': '일본'}, {'name': '미국'}]","['드라마', '역사', '전쟁', '액션']","평균 ★3.7 (8,623명)",칸
1980,보통 사람들,['로버트 레드포드'],[{'name': '미국'}],['드라마'],"평균 ★3.5 (2,308명)",아카데미
1980,Palermo or Wolfsburg,[],[{'name': '독일'}],[],평균 ★3.0 (1명),베를린
1980,아틀란틱 시티,['루이 말'],"[{'name': '캐나다'}, {'name': '프랑스'}, {'name': '미국'}]","['로맨스', '드라마', '범죄']",평균 ★3.3 (278명),베니스
1980,글로리아,['존 카사베츠'],[{'name': '미국'}],"['드라마', '스릴러', '범죄']","평균 ★3.7 (1,461명)",베니스
1979,올 댓 재즈,['밥 포시'],[{'name': '미국'}],"['드라마', '판타지', '음악']","평균 ★3.7 (2,131명)",칸
1979,지옥의 묵시록,['프란시스 포드 코폴라'],[{'name': '미국'}],"['드라마', '전쟁']",평균 ★3.8 (3만명),칸
1979,양철북,['폴커 슐렌도르프'],"[{'name': '독일'}, {'name': '프랑스'}, {'name': '독일(구 서독)'}, {'name': '폴란드'}]","['드라마', '전쟁']",평균 ★3.5 (1만명),칸
1979,크레이머 대 크레이머,['로버트 벤튼'],[{'name': '미국'}],['드라마'],평균 ★3.7 (2만명),아카데미
1979,테마,['글렙 판필로프'],[{'name': '러시아'}],['드라마'], ,베를린
1979,하트랜드,['리처드 피어스'],[{'name': '미국'}],['드라마'],평균 ★3.5 (11명),베를린
1979,데이비드,['피터 릴리엔탈'],"[{'name': '독일'}, {'name': '독일(구 서독)'}]","['전쟁', '드라마']",평균 ★3.0 (15명),베를린
1978,나막신 나무,['에르만노 올미'],"[{'name': '이탈리아'}, {'name': '프랑스'}]",['드라마'],평균 ★3.7 (198명),칸
1978,디어 헌터,['마이클 치미노'],[{'name': '미국'}],"['공포', '전쟁', '드라마']",평균 ★3.8 (1만명),아카데미
1978,아쎈소르,['토마스 무노즈'],[{'name': '스페인'}],[],평균 ★3.6 (12명),베를린
1978,왓 맥스 세드,['에밀리오 마르티네즈 라자로'],[{'name': '스페인'}],[],평균 ★3.2 (14명),베를린
1978,트라웃,['조시 루이스 가르시아 산체즈'],[{'name': '스페인'}],[],평균 ★3.5 (12명),베를린
1977,빠드레 빠드로네,"['비토리오 타비아니', '파올로 타비아니']",[{'name': '이탈리아'}],['드라마'],평균 ★3.6 (547명),칸
1977,애니 홀,['우디 앨런'],[{'name': '미국'}],"['로맨스', '코미디', '로맨틱코미디']",평균 ★3.8 (2만명),아카데미
1977,고양,['라리사 셰피트코'],[{'name': '소련'}],"['전쟁', '드라마']",평균 ★4.1 (213명),베를린
